,runstring,instability_time,m1,m2,m3,Stable
0,0000000.bin,12356442.121674882,3.4140160192072926e-05,1.8787249753397036e-05,1.8268998599127623e-06,False
1,0000001.bin,134874.88323432917,2.5298381201802596e-07,3.485789928918549e-05,1.9557973661340233e-05,False
2,0000002.bin,12763.80811804577,7.380789436025696e-05,6.974008320384787e-05,1.4779308111519763e-07,False
3,0000003.bin,1000000000.0,5.174803715214938e-07,4.292276354690093e-06,1.2878506444947535e-06,True
4,0000004.bin,87.91887654323433,5.106746138932635e-07,2.0393797501247804e-07,1.5423208434567874e-06,False
5,0000005.bin,1000000000.0,7.391032035357176e-06,1.6801999512899402e-05,2.4298568942447116e-05,True
6,0000006.bin,149.3009887990262,2.3989447799428133e-05,2.9232242108760748e-05,2.85170031627245e-06,False
7,0000007.bin,521.1392029631098,9.364795422756956e-07,2.834963826558836e-07,8.97022670479415e-06,False
8,0000008.bin,0.8313841886164649,4.787596911513267e-07,7.706995537180603e-05,2.393275505503038e-07,False
9,0000009.bin,105.72425182482236,2.449187721061062e-06,1.3180618627396428e-06,2.603863641978969e-07,False
10,0000010.bin,1000000000.0,5.178545352737761e-06,1.9349384913019015e-06,5.423428305346011e-06,True
11,0000011.bin,1000000000.0,2.275823934546539e-06,4.7787813293652036e-06,5.924227831275747e-05,True
12,0000012.bin,9.283780014358035,2.65284597874946e-06,9.384637633223254e-06,9.982318289530414e-06,False
13,0000013.bin,1000000000.0,5.984466981315374e-07,1.1370353812719136e-05,1.1278354834615376e-05,True
14,0000014.bin,1000000000.0,2.0916336163036924e-07,1.2816120201014915e-05,9.039118105554954e-06,True
15,0000015.bin,13946.756006675745,7.865501616629306e-05,1.0838372708079486e-07,1.6142651069097773e-05,False
16,0000016.bin,1000000000.0,1.214977750028306e-06,2.763388823787635e-06,1.7817955904465443e-06,True
17,0000017.bin,1000000000.0,3.680880592024199e-06,2.6307060971498962e-05,7.611746618614206e-05,True
18,0000018.bin,1000000000.0,3.497796911972419e-07,9.644764893416693e-06,1.0085074470777288e-06,True
19,0000019.bin,8.279158362997256,1.0749233090612316e-05,2.2632580213847216e-05,3.64249086778993e-06,False
20,0000020.bin,5.403857724598916,5.210975466852393e-05,1.1448865967214717e-05,1.9930939418882423e-05,False
21,0000021.bin,359024.21565093426,3.124988615316884e-07,1.1730074560477507e-05,8.03525791398403e-06,False
22,0000022.bin,2025537.2044145511,7.49252394311766e-05,2.636973529221057e-07,1.1771950883672205e-07,False
23,0000023.bin,293.78171651806736,5.95107953930914e-05,7.01160325514293e-05,4.756637245264213e-05,False
24,0000024.bin,27242568.153667014,1.3709731945235689e-05,3.306733604790689e-05,3.530007766235068e-07,False
25,0000025.bin,370834.04441826604,1.3517205214120819e-06,6.030669427572176e-05,3.3910970370555785e-05,False
26,0000026.bin,406.3009328396048,1.7453149093838526e-05,4.0574941004332655e-07,4.125494023418148e-07,False
27,0000027.bin,236.11212478022279,8.82046863405789e-06,1.2708919326696989e-05,7.432604226433706e-05,False
28,0000028.bin,33746.40822858024,2.1820842293838305e-07,2.469201321407136e-07,6.191311724673287e-06,False
29,0000029.bin,1136.0842611081152,4.409173224673687e-06,1.0901731210811885e-06,3.4241538188904845e-05,False
30,0000030.bin,7581212.363218037,4.142329996925199e-06,7.372067973157915e-07,1.2305824742692103e-07,False
31,0000031.bin,26710.958639536937,1.0885158123053962e-07,2.1736848738870888e-07,1.5083845821755194e-06,False
32,0000032.bin,1000000000.0,1.707125114555645e-07,4.3737138747509274e-07,8.116803108739497e-07,True
33,0000033.bin,1000000000.0,5.140262163216657e-06,7.88313541284744e-06,2.8249552960592005e-05,True
34,0000034.bin,32685756.520657457,3.861945572239303e-06,5.717952776098568e-06,3.388274721453813e-05,False
35,0000035.bin,291881.6115978197,4.42673798221742e-06,1.7849368315728056e-05,1.745501346735849e-05,False
36,0000036.bin,1000000000.0,9.685043186070345e-07,8.905160468377195e-05,7.546448392974404e-05,True
37,0000037.bin,1000000000.0,1.1117667511911207e-05,1.8828157571914374e-07,7.135904785109022e-06,True
38,0000038.bin,192.39540647245593,8.28745310919642e-06,1.936702674944168e-06,1.489006048716017e-05,False
39,0000039.bin,1000000000.0,4.261414051814816e-07,1.4328269244152324e-06,3.847520506168599e-07,True
40,0000040.bin,1000000000.0,2.3758560740028855e-06,4.3013393902998736e-05,1.246061395417474e-07,True
41,0000041.bin,1000000000.0,1.3901512994242143e-06,4.922180764900293e-07,3.148546944293568e-07,True
42,0000042.bin,55864.400031651916,8.284768840933803e-06,1.1885905298319067e-07,6.684792870390741e-07,False
43,0000043.bin,1000000000.0,1.3051352453616748e-07,1.2265152937498949e-05,2.702711342097166e-07,True
44,0000044.bin,30278.37040772847,1.681154540009978e-06,4.225868973907805e-06,3.855758719984829e-05,False
45,0000045.bin,404.43373130297755,6.540730319855326e-07,2.91128433508858e-06,1.7605080981268027e-07,False
46,0000046.bin,2308921.6835682862,4.621726369179645e-05,1.5848318404348868e-06,5.832577905028209e-06,False
47,0000047.bin,1000000000.0,1.1364197361361094e-06,1.9523547705591597e-06,2.296215217449213e-06,True
48,0000048.bin,230754179.19006944,4.410354359965502e-06,2.4869920106897634e-07,1.3634541143999553e-05,False
49,0000049.bin,1000000000.0,1.5872740971656702e-07,1.7367145760432073e-06,2.1454292722255877e-07,True
50,0000050.bin,105.239243477748,3.1089211420179565e-06,6.288125041605345e-07,8.170214983950546e-06,False
51,0000051.bin,1000000000.0,5.37716407119343e-07,3.210901392639435e-06,3.0606420652757446e-07,True
52,0000052.bin,1424720.0508443846,8.611217825990649e-05,1.4573637574172842e-07,1.5030906162542607e-05,False
53,0000053.bin,1000000000.0,7.1027156749871895e-06,4.6818302096634375e-05,2.3413247679915737e-06,True
54,0000054.bin,1000000000.0,5.5071755136543555e-05,2.584842339421303e-07,4.658117172540118e-06,True
55,0000055.bin,1000000000.0,1.8664637638577123e-07,7.110509052895497e-05,2.8178194270804906e-07,True
56,0000056.bin,385.43535774588787,7.902373711581117e-05,4.778237606147212e-06,2.6364264777671667e-06,False
57,0000057.bin,547362.035910148,1.341828898063412e-07,5.875696450158693e-06,1.1427005437589798e-07,False
58,0000058.bin,5325.8683175386695,5.524226728052736e-06,4.141636667276675e-07,8.431563268252425e-06,False
59,0000059.bin,28.440267569757317,4.7049652975083806e-07,6.279439633872082e-05,6.874337127457261e-05,False
60,0000060.bin,5463264.217588435,8.38340146530367e-07,5.4184320508659214e-06,6.264033998981233e-07,False
61,0000061.bin,1000000000.0,3.044123781552538e-06,4.678161284012672e-06,2.6867562417649686e-05,True
62,0000062.bin,57136.19406920773,6.0809957184687746e-05,3.304309128362785e-07,8.163694981011724e-05,False
63,0000063.bin,11625.373872910564,2.164799482679167e-06,7.625449460261221e-07,5.3491727330076294e-05,False
64,0000064.bin,11.812570666389108,2.6820988917015966e-06,7.774226024268861e-06,1.6288568129993333e-06,False
65,0000065.bin,1000000000.0,1.7548176662689567e-06,7.296263634097227e-07,3.4208735643830325e-05,True
66,0000066.bin,9824841.824352186,1.6308979287756594e-07,2.0126268453982955e-06,5.479605754257525e-07,False
67,0000067.bin,35670389.485406235,1.6764139674983662e-07,1.9861050124647324e-05,8.24671531968913e-05,False
68,0000068.bin,74014703.2446142,1.678830330789693e-05,6.643725027525133e-05,1.7466673033190833e-05,False
69,0000069.bin,11857.899296659078,1.1290751712825108e-05,1.938705870762895e-07,3.167702729388384e-07,False
70,0000070.bin,1000000000.0,5.3617642386991405e-05,7.624952143708009e-07,2.389470306497276e-06,True
71,0000071.bin,596.9337109654139,9.359659238480396e-07,7.245835257942269e-06,1.0603274348648402e-07,False
72,0000072.bin,507864.6900054181,1.6606570915508731e-07,6.068561917576552e-06,9.296958349802191e-05,False
73,0000073.bin,1000000000.0,6.909496810943749e-07,3.209381396644941e-06,4.9254220400904815e-06,True
74,0000074.bin,87.08586226662362,3.794768925422824e-05,3.51430528429906e-06,2.1919586254817686e-07,False
75,0000075.bin,1000000000.0,2.251828971873677e-06,2.0410737852068445e-06,1.3332246586558284e-07,True
76,0000076.bin,1000000000.0,1.2932125878524402e-06,7.088532057925796e-05,3.9823496864182985e-07,True
77,0000077.bin,28789.30417746682,2.496583565707553e-05,9.499886841368887e-07,5.265996246918876e-07,False
78,0000078.bin,1000000000.0,2.7760957186855078e-05,1.9411935080308387e-07,5.931751427147353e-05,True
79,0000079.bin,22104780.98801226,2.729031103694529e-07,1.1182367627818183e-06,3.081821618471047e-07,False
80,0000080.bin,273592298.64444494,6.523389943576091e-07,4.223959869225597e-06,1.3316528753981249e-05,False
81,0000081.bin,1000000000.0,3.294740703994366e-06,2.290098379791028e-06,4.71967916875577e-06,True
82,0000082.bin,1000000000.0,2.717450600155708e-07,2.949116822919981e-06,3.2756722707894786e-06,True
83,0000083.bin,7.170679302587558,3.07941704554432e-06,3.71785211279207e-05,1.8453666586141645e-07,False
84,0000084.bin,156.64544906757257,1.565284883754403e-05,5.523131348761844e-05,1.2941655557974482e-07,False
85,0000085.bin,1068.5019311027932,3.9697770718765887e-07,7.000963372664346e-06,2.0957089675109864e-07,False
86,0000086.bin,121.9349324997422,2.3690695345447584e-05,1.239085310574438e-07,3.260062399979534e-05,False
87,0000087.bin,1000000000.0,2.740718315236023e-07,3.6942473049460476e-07,3.2909584716315696e-05,True
88,0000088.bin,1000000000.0,1.5576383489508094e-06,3.7028379788398366e-07,5.0970390389697296e-05,True
89,0000089.bin,1319.684035770095,1.7509429416671668e-07,6.613149907413697e-06,9.844270791330955e-05,False
90,0000090.bin,452629.33176982054,4.08330050355839e-07,1.897056499470944e-07,9.515683903389901e-06,False
91,0000091.bin,525542.3076277643,1.7805802973152173e-07,3.289447228904414e-07,1.125731066289768e-05,False
92,0000092.bin,1883653.4488745735,1.8328792004345592e-06,4.951584439199457e-06,4.725212487592808e-06,False
93,0000093.bin,7569.894681553514,5.457956601362388e-05,3.0412298319157494e-06,4.982007345410797e-06,False
94,0000094.bin,1027.5888582326868,4.3692275217518195e-06,2.3569843637884104e-07,6.92278489839154e-07,False
95,0000095.bin,1000000000.0,1.9075873550254115e-05,3.4789629760704863e-06,9.801816151098095e-05,True
96,0000096.bin,1000000000.0,1.293549136453612e-06,5.2829367238972256e-05,1.5419839547299053e-06,True
97,0000097.bin,1000000000.0,3.833643672122159e-07,2.6195814378948875e-05,1.306711020327599e-06,True
98,0000098.bin,29.92982040513403,1.1727207789106544e-06,3.1151634047332596e-05,1.140606760833945e-06,False
99,0000099.bin,1000000000.0,1.6290492896775638e-06,3.9831469923710043e-07,3.438800345971753e-07,True
100,0000100.bin,1000000000.0,2.735317634148992e-07,2.316226433137286e-06,2.0528225842656277e-05,True
101,0000101.bin,1000000000.0,5.539319272481423e-06,3.8394011143480124e-07,7.8659887543578e-05,True
102,0000102.bin,1000000000.0,2.783002645436941e-07,7.045241120137717e-06,3.228921354067514e-07,True
103,0000103.bin,27142929.8422909,8.652674373905343e-05,2.3382709216296576e-06,1.4339734230940547e-05,False
104,0000104.bin,246911.73149944443,7.58372874208345e-05,4.126587526239345e-05,1.5693358077255815e-05,False
